//@辣叶摧秋:换手机，明大义！//@血色军刀999:危难时刻现同胞情！	未
近日菠萝申科正式宣布向俄乌边境部署一支空中突击师，这支空突师装备有苏-27与伊尔-76MD，是一支不折不扣的精锐部队。不过由于乌克兰的经济常年地铁2033，导致这些苏-27的设备并没有经过现代化升级，所以这些战机在面对俄罗斯部署在边境的苏-30时并不会有任何优势，甚至在电子战方面还存在极大的劣势	未
近日，西藏，海拔4700米，边防哨点前，漫天风雪中挺立着两棵松。（cr人民日报）	未
近日詹姆斯接受NBA记者Rachel Nichols专访时说：我相信安东尼仍然能打比赛，我相信自己能帮助他。有时候我比他自己更了解他，如果时机合适，我欢迎他来湖人。NBA吐槽大会	未
近日记者在武汉街头采访一黑人：请问你觉得是非洲热还是武汉热?黑人咆哮到：我擦，再说一遍！我不是非洲人，我这是在武汉晒黑的！	未
近日，都昌县局联合公安部门捣毁三处假烟销售窝点	未
近日银监部门对部分银行进行窗口指导 要求适度控制利润增速财联社12月20日讯，近日银监部门对部分银行进行了窗口指导，要求他们适度控制利润增速，让2018全年的业绩增速不要放太高。同时，还要求某些城/农商行降低小微企业贷款利率，四季度末的贷款利率须低于三季度末。甚至，连央行都 ...全文	未
近日，霍华德郡警署通过 Facebook 分享了一段视频，展示了警车记录仪在当地时间 12 月 12 日深夜 11 点多拍摄到的一闪而过的双子座流星转发 许愿	未
近日，鹤壁成功打掉一涉黑犯罪集团，并抓获30余名组织成员	未
近日，黄子韬受邀参加教育部中国教育发展基金会举办的青少年防走失防欺凌公益活动，并作为公益特使候选人进行演讲，呼吁更多人关注青少年儿童安全问题，公益正能量值得称赞！	未
近期KMTCPILCMAAPL通知费用调整汇总！	未
近期一周事故警示：不与危险邂逅 ，规则常记心间！出行交规抛在脑后，换来的是出事后日日的后悔，从别人的事故中吸取教训，每天提醒自己，敬畏生命，遵守规则！	未
近期，一项发表在Science上的研究成为了讨论的一个焦点跳蛛存在长期的哺乳行为其实，这并不新鲜除了跳蛛，其他无脊椎动物也有类似的行为 蟑螂也会哺乳可不，小蟑螂还有奶嘴呢！	未
近期为何总是雾雾雾会持续多久这些事情你必须要知道！	未
近期为何总是雾雾雾会持续影响宁波几天出行如何防护	未
近期停电公告	未
近期到南宁的人注意了，首府开启24小时刷脸进城模式！	未
近期北方地区雾霾天气严重，小伙伴们居家出行都要注意啊。华为合作品牌空气净化器最高直降800元，洁净您的每一口呼吸！需要赶紧戳：网页链接	未
近期，南靖这些违停车辆曝光，有你的吗	未
近期去日本的盆友们注意了！东京暴发风疹 你接种疫苗了吗？	未
近期发生在河津的十起车祸监控，看完被吓到了！	未
近期发生的电动车交通事故希望骑车的朋友别太任性随意，因为生命只有一次 （交通事儿）五进送平安	未
近期发生的电动车交通事故希望骑车的朋友别太任性随意，因为生命只有一次 蜀黍说安全	未
近期台湾还有破坏性地震吗看看地震专家怎么说广东省地震预报研究中心主任邓志辉告诉羊城晚报记者，今年10月省地震预报中心把台湾一带划为危险区，预计未来还会有5-6级地震。不过近期该地区没有突出异常，尤其是广东省内，近期发生具有破坏性地震的可能性不大近期台湾还有破坏性地震吗看看地震专家怎么说	未
近期地质矿业类招聘信息发布	未
近期大乱斗SP将改善网络联机在偷跑的FAMI通杂志访谈上樱井政博公布了一些《任天堂明星大乱斗SP》的相关消息。最近有不少玩家反应联机问题，目前正在调查原因，近期应该能解决。此外，来自《女神异闻录5》的JOKER的制作进度尚早，还没到可以玩的阶段。但开发工作依然在稳步进行。最后樱井政博还表示他对P5抱有崇高的敬意，能将JOKER加入大乱斗中，越来越觉得这份工作充满了刺激。	未
近期，宁乡公安重点紧盯这类人！	未
近期宾阳交警动作不断 原来是为了......	未
近期，广东省工信厅暂停发布广东省PMI指数，这一情况引起部分媒体关注。就此，国家统计局服务业调查中心负责人接受记者采访时表示，目前，广东省工信部门正根据广东省统计部门要求进行整改，如广东省工信部门按照统计调查管理相关规定向统计主管部门报批，在符合依法依规实施调查的前提下，可继续开展此项调查，并适时对外发布相关数据。统计局：广东省工信部门正进行整改 将适时发布PMI相关数据	未
近期怎么啦头条为嘛一直留给蔡甸城管	未
近期，您可能接到0591开头的测评电话，请您耐心回答这些问题	未
近期，我们公司CFO孟晚舟女士在加拿大转机时，被加拿大当局代表美国政府暂时扣留，美国正在寻求对孟晚舟女士的引渡，面临纽约东区未指明的指控关于具体指控提供给华为的信息非常少，华为并不知晓孟女士有任何不当行为公司相信，加拿大和美国的法律体系会最终会给出公正的结论华为遵守业务所在国 ...全文	未
近期我院热点信息，您关注了吗	未
近期打算去新疆的留意乌鲁木齐大雪导致机场3000余旅客滞留	未
近期招聘信息汇总年底招聘不多了，抓紧时间投简历唷	未
近期招聘！博州招50名辅助类消防员等	未
近期救助的8只毛孩子的医疗费用，希望大家伸出援手！	未
近期有消息称，自2019年起，深圳新能源混动车型的增量指标将由目前的直接申请，改为摇号获取，引发不少市民关注和咨询。今日深圳市交通运输委官网发布的小汽车增量调控管理征求意见稿显示，修订后增量指标的配置周期额度比例及方式与现行《实施细则》完全保持一致。官方说法来了：深圳混动和纯电动小汽车指标仍无额度限制	未
近期本鹅的行程，有你的城市吗我等你	未
近期满多私信说想进微信群的 二维码 满员的话联系水花管理@怀旧的汐颜885 记得不要骚扰人家小姐姐金州勇士	未
近期热点大兴区明年1月1日起实行交通禁限行管理	未
近期热点总经理搞了个签售会！来大兴这家15年的奔驰店看看	未
近期热点曾离开大兴的他们如今又回来了	未
近期热点最新消息！大兴这仨地儿将有大动作	未
近期盘州各乡镇，惊现会生钱的蛋.....	未
近期缅军持续与若开军爆发冲突 双方战事日愈激烈	未
近期 缅甸杰沙市移民局为1357名当地青少年办理身份证	未
近期网友咨询：1高三万三中好多个班 好多个人 重点班有几个 寒假要回学校宣传。 2 外地人准备来万州学烤鱼，现在的价格是多少 3 万州为什么没开通微信医保缴费 4 生椒牛肉丁面哪个面馆有 5 给我办卡的健身教练自己都发福了，我还有必要继续跟他的课吗6 溜冰场哪些地方有 7 想知道熬夜到2，3点的人都是做什么工作的，不起早床吗	未
近期要去越南旅行的游客注意了 岘港今年已发现3600例登革热疫情11月27日上午，越南岘港市医院副院长阮成中表示，今年11月以来该医院已收治742名登革热患者，目前医院已处于超负荷状态，除了增添医护人员外，医院只能将部分患者在过道上暂时进行安置。根据岘港市卫生部门统计，年初截至目前，岘港已发现超过3600例登革热病例。	未
近期要闻近期的新鲜事，官微君来和你聊	未
近期，警察小姐姐发现很多不法分子以信用卡信用受损为由实施诈骗！快来了解一下，提高防骗意识哦	未
近期，资阳人寄香肠腊肉还需办个手续	未
近期，路过这里的请注意！	未
近期还有另一个思路，在市场上表现的非常明显的我们知道，近几年潜伏线最牛的当属雄安，后来是海南和高送转潜伏的大多以大爆发为主，潜伏资金大概率都是一些先知先行者近期出现另一个情况，恒大借壳深深房概念股，现大规模的潜伏动作，主要集中在三四个票我一直在思考，是否借壳一事就快有进展这条线在近期还是走的相对非常明显的，当成一个作业给大家去研究但缺点是，深深房这一停就是三年多，谁知道它还要停多久1个月3个月6个月不知道	未
近期连云港这些小区要停电！看看有你家吗	未
近期部分公交线路有所调整，市民出行请注意！	未
近期，陇南有人被打猎用的电网击伤...	未
近朱者赤，近墨者黑，物以类聚，人以群分。	未
近来花团锦簇的这个村庄，好多福安人还没去过！	未
近段时间，华蓥这些老人都干了些什么	未
近段时间，各航空公司在春运前，已纷纷调高北京三亚航线经济舱全价票和公务（头等）全价票的公布运价。此时不赚，更待何时 经济舱全价票（无折扣的价格）：国航海航：3050元南航厦航首都航：2780元深航：2530元头等（商务）全价票：海航：16780元（550经济舱）深航：15180元（600经济舱）国航：12960元（425经济舱）南航：12510元（450经济舱）厦航：12000元（430经济舱）首都航：11600元（420经济舱）	未
近段时间，涪陵这群青少年每周六都去同一个地方，他们在干啥	未
近海镇公益村菜场一女子用假币买菜被捉住！	未
近百位出租车司机下跪在政府门前，呼唤为人民服务	未
近百名就餐者在大丰一餐馆吃饺子，结果	未
近百名涉罪未成年人回归社会	未
近百名游客玩转南海影视城，对不文明旅游行为say no	未
近百名群众聚在东昌府区公安分局！究竟发生了什么	未
近百年来西医发展表明西医其实正在逐渐向中医靠近	未
近端刺心 还是有不少人参与博弈	未
近观山色苍然青，其色如蓝。远观山色郁然翠，如蓝成靛，山色非变。李叔同 山色	未
近视不戴眼镜，可以恢复视力吗这次终于知道答案了	未
近视的痛苦	未
近视眼的你必看	未
近视眼看世界	未
近距离接触五六百斤野生大黑熊	未
近距离遭遇梅里雪山雪崩，那一瞬间我想的是  视频故事	未
近邻宇宙星系发现中等质量黑洞候选体	未
返回北京今中午与下午分别有三批次来访者，故昨下午决定火速返京昨晚结束在江西省洞山书院的分享交流，已23时许，洗把脸即睡晨4时起床，4时30分从洞山寺所处山区出发，自江西宜丰县奔赴南昌机场虽淋着小雨，司机的车子开的快速稳健，及时赶上7时许飞机10时20分降落北京，小跑步赶到地铁， ...全文	未
返璞归真许老板。	未
返程回家不用愁，新疆铁路加开多方向旅客列车，火车票买起来！	未
返程高峰防拥堵 司机莫耍小聪明	未
返还盗抢车辆27辆，蜀黍破案还赃暖人心！	未
返钱、发钱、给补助 事关7亿人就业的＂及时雨＂来了	未
返钱发钱给补助 事关7亿人就业的“及时雨”来了	未
返钱、发钱、给补助 事关7亿人的就业“及时雨”来了	未
返钱发钱给补助！事关7亿多人！丹阳人看看有你的吗	未
返钱发钱给补助！事关7亿多人！南充人看看有你的吗	未
返钱、发钱、给补助 事关7亿多人就业的“及时雨”来了！	未
返钱发钱给补助，事关7亿多人就业的及时雨来了！	未
返钱发钱给补助这件事关乎几十万宜昌人的饭碗！	未
返钱发钱给补助这场红包雨与你有关！	未
还4个月 -查看图片 //@千夜梦语: 不是狮家和狼家决战吗//@ccccier_:难道可以理解成狼家和龙妈都打不过异鬼最后还是要靠狮家	未
还不休息啊哥	未
还不会使用PyTorch框架进行深度学习的小伙伴，看过来	未
还不信台军买的是次品？4架美售F-16战机生锈了	未
还不信台军买的是破烂儿？4架美售F-16战机生锈了	未
还不够，继续捞	未
还不如去三亚呢	未
还不如多喝热水呢！//@農呋:钢铁//@追剧小鬼才:哈哈哈想搞清楚//@阿粪青:直男癌晚期//@维克多刺猬:	未
还不如来一句举一反三，绝不姑息//@宋小五常吃米: 公关水平堪比DampG@专什么员	未
还不如输一局脱一件呢	未
还不就是和的区别么。。。	未
还不快去接着转 预感下一个是	未
还不把这个转给身边单身的朋友，那你就太不够意思了！	未
还不是因为放不下，所以试图想恳求对方别走。	未
还不能放开呢。继续这么不放开，虚价千倍的药就会出来。世界上市场经济国家，哪里能找到虚价超百倍的商品//@军事历史之古今评谈: 国家还是管着药价吧，这个不能完全放开	未
还不赶紧上车！	未
还不赶紧上车	未
还不赶紧安排！	未
还不速速收了	未
还不重视环保问题小心被纪委盯上！第二批中央生态环保督察回头看期间，纪检监察机关出镜频率颇高，对环保问题背后的失职失责问题开展问责。纪检监察机关对有关部门在环保方面履职尽责情况进行监督检查，能倒逼责任部门提高思想认识，切实担负起生态文明建设的政治责任。可以说，环保督察与纪检监察是中央生态环保督察的两条腿，缺一不可。@中国环境新闻 还不重视环保问题小心被纪委盯上！	未
还两副面孔呢	未
还么到5点，天就黑了	未
还二打一	未
还什么抵制清真 声援光明 人家一打折照样抢得欢	未
还以为他比别人都差呢//@扒爷揭秘站: 没想到	未
还以为是cg	未
还会有下次	未
还会烧手//@三好学生李宇:确实没用	未
还你妈//@荷兰鸭:我靠@EternalSmithereens 还钱//@荷兰鸭:她全收了 是我的人了哦	未
还债有一个最快的解决办法是什么呢?	未
还减什么肥//@去日本吃什么:第一个就把我击倒想吃//@是一个王俩木的琳:人间太值得	未
还出什么国去了河南，等于去了全世界	未
还出什么国逛遍大云南，等于去了全世界，不信你看！	未
还别说，真有可能。//@艾漫儿:难道美国是算这个帐么	未
还剩1天！剧透一点点周边给你们看1220游戏安全日	未
还剩一个月，这9大政策将全部落实！	未
还剩一个月，这9大政策将全部落实！来不及解释，卡友转发相告	未
还剩少量，双12走一波 需要的看评论	未
还剩少量，想要的可以看看，有可能会不加订了//@设计精选:想要的可以看评论	未
还剩最后两天，快去农博会扫货！吃喝玩乐购，吊足你胃口，就怕你的购物袋不够大！	未
还半小时	未
还压紧一些//@Princeblogboy:	未
还原南京大屠杀真相，美国华裔工薪族自费搜证16年，两千件罪证无偿捐献我不愤怒，愤怒只是情绪的表达我也不仇恨，仇恨是一种最不可取的手段我坚信，历史应该被公平地对待鲁照宁网页链接	未
还原南京大屠杀真相，美国华裔工薪族自费搜证16年，两千件罪证无偿捐献我不愤怒，愤怒只是情绪的表达。我也不仇恨，仇恨是一种最不可取的手段。我坚信，历史应该被公平地对待。鲁照宁还原南京大屠杀真相，美国华裔工薪族自费搜证16年，两千件罪证无偿捐献	未
还原受骗全过程！就在梅城这里！家里老人领过鸡蛋大米的进！	未
还原斗鱼“裁员”：广深团队合并，业务线会保留涉数十人	未
还可以停在路边上	未
还可以找卖米粉的索赔//@媒体人罗兰青:按这样的逻辑，怎么不找卖糍粑的索赔呢	未
还可以，都能下载上传视频呢//@蛋白质与氨基酸:去古巴试下3G网快不快	未
还在与顾客尬聊用这5大赞美话术，顾客签单不啰嗦！	未
还在为自己身份证丑照发愁吗今后身份证相片不满意可重拍3次！	未
还在为车市发愁这里有一份国六解决方案请收好！	未
还在为酒店绩效管理抓破头不妨看看这个......	未
还在傻傻的吃生活中应该避开这些食物误区 打开支忖宝搜 515041699 领99元红包 瓜分15亿.	未
还在刷朋友圈中的雪吗给你看一个不一样的雪中光明寺！	未
还在医院排队挂专家门诊吗快加入三好课堂微信群吧！	未
还在发愁挑什么吗	未
还在发愁要怎么用掉红包	未
还在吃假蜜怎么才能买到真的土蜂蜜	未
还在呢！	未
还在学飞虎队对表几千万年误差1秒的原子钟了解下	未
还在尝试各种新科技手段帮助睡眠？专家：还不如换个好床	未
还在想今天是什么好日子 原来co也在现场 破案了	未
还在抵制转基因食品基因编辑婴儿已诞生！	未
还在担心油耗这款车新增车型，将拥有更低的油耗...	未
还在拜那些微博锦鲤快进来！让你知道真正的锦鲤长啥样！	未
还在控制卡路里？英专家称摄入更多脂肪才能保持身体健康	未
还在火车上，有啥消息不	未
还在炒菜放大蒜吗都看看吧，别怪我发晚了！	未
还在熬夜的人转发这条微博吧，接下来一定会有个好梦	未
还在用手机打牌赌钱的都醒醒吧！现在知道还不晚！	未
还在用扫码支付吗你OUT了！	未
还在用爱发电这些老司机为了吃饭永别秋名山	未
[还在相信转发送礼品吗?济源已经有人被骗了只要把这些消息转发到朋友圈中，并截图给商家，就可以免费得到一个迷你的遥控赛车。近日，市民段女士在朋友圈看到这样一则帮转发广告可送礼物的信息，她转发三天后却没收到礼物，询问客服对方也不回应，才知自己被骗。此外，还有这几种微信骗局，要小心还在相信转发送礼品吗?济源已经有人被骗了	未
还在看6AT变速箱这些12万左右的SUV都用上8AT了	未
还在看仙侠、玄幻网文？你OUT了 这类题材将大爆发	未
还在看直播的人越来越少了？两大直播平台同时宣布告别	未
还在等什么趁天气晴朗，赶紧驾着二代海马S5出去浪吧	未
还在纠缠消费升级还是消费降级大消费的挑战即将釜底抽薪	未
还在自己买水果周转筐你怕是不知道这个早就可以租赁了，还贼方便	未
还在车上，反正也没啥事儿我们就搞晚了 查看图片	未
还在那瞎逼逼，政府都关门了，股市也进入熊市了，还在那要做世界警察梦	未
还在闯红灯、超速、逆向行驶？是时候看看《电动自行车安全教育警示片》了！	未
还在靠死工资撑着这8条副业赚钱法，让你业余躺赚收入上百万！	未
还在靠死工资撑着这8条副业赚钱法，让你业余躺赚收入比上班强得多！	未
还在风雨中瑟瑟发抖快试试日本这几件冬季好物！	未
还坐近了一点	未
还堵在路上么	未
还好人应该没什么大事儿	未
还好，今天绝不部分都拿下了，就是我自己评论不了了着急	未
还好，从来没用过共享单车	未
还好，我也不是什么好人。	未
还好我也不是什么好人	未
还好我没钱//@神经病有所好转:get//@手游戏精:在吗没钱//@一只炸宝:借钱拉黑，谢谢//@娱潮社:你还敢借钱给人反正我是不敢//@总有刁民要害朕喔:甚至有些说和你借钱还信用卡，他说的已经逾期好几次了，更不能能借，借了你就等着下辈子还吧	未
还好我穷，也不喜欢旅游！//@一枚军粉://@尹克伦64://@蓝瑟推土机_se5:他有啥成本，没有游客，林场不照样运作	未
还好昨晚赢球了，虽然磕磕绊绊，但是3分就能解决很多问题	未
还好没在车上打！2名老人要求中途下车被拒，动手打晕大巴司机：他也出手了11月26日，海南五指山一大巴车上，2名老人要求在非停车点下车遭拒绝，下车后竟动手打司机。大巴公司工作人员称，司机当时可能被打中了某个穴位所以晕倒了，现已无大碍。目前警方已介入，2名老人已被行政拘留并处罚款。	未
还好还在能接受范围内//@鱼香小肥飞r:回复@_景肆无端五十弦_:刚看了下booking，最便宜的房间（双人间）一晚上697欧，5500人民币左右	未
还好还好 在一千万之内	未
还嫌西部不够乱买断阿里扎，西部倒数第一要搞事情！	未
还实践证明	未
还差20个点到2449点，上午午盘或下午一点半左右接近2449点，可能加仓1-2成，做下午的T0！	未
还差6000万阅读量，今天能不能完成就靠你们了...	未
还差三分，最后16秒，决胜时刻	未
还差人 都来拼拼啦 微信扫图三	未
还应该是科普基地。	未
还得向以前的自己多请教。	未
还想唉屁呕！//@飒飒肖:为什么证监会不转发金融维稳办的消息	未
还想说真的不要打小孩我都这个岁数了至今没走出来	未
还想闯红灯上海现首套红灯马路屏蔽门根据央视新闻报道，近日，上海奉贤区现首套防闯红灯马路屏蔽门。该屏蔽门与行人过街信号灯同步，红灯时关闭，绿灯时打开。详情点击：还想闯红灯上海现首套红灯马路屏蔽门	未
还愿还愿	未
还成吧	未
还我天使 福田老贼	未
还我押金！小黄车要黄了共享单车大洗牌开始！	未
还“扣锅”强制技术转让？中国这次堵上美国的嘴	未
还抢这次武警出手了！微博视频	未
还挺好玩的。（沉迷打牌无心主线，沉迷家园无心主线，沉迷打打杀杀做什么，是种地不好玩吗）	未
还搓不起雪球球	未
还收到了@火焱焱土垚垚 的小礼物	未
还敢不敢网恋了 微博视频	未
还敢乱来玉林已经抓上千人了，你知嘛	未
还敢任性六安这些电动车吃罚单了！	未
还敢吃吗食品装在涂料桶内，销量前十的外卖店六家有问题！	未
还敢失信在湖北有这5种失信行为，将受到7种特别惩戒措施！	未
还敢家暴全省首张《家庭暴力告诫书》了解一下，泸州公安开的！	未
还敢“恶意透支”信用卡？两高出手了！上调量刑标准	未
还敢玩水不转	未
还敢违建吗茂名一栋500多平方违建房屋被拆！	未
还敢酒驾黔江每天设点检查，又抓到了这批酒驾人员！	未
还是。。。	未
还是ems稳啊。虽然贵，但是稳啊（（（	未
还是一句话，大家记得了：谁的票都可以投，就是不能再投我的票，因为我们36个小时以内，已经完成任务！	未
还是个无线鼠	未
还是人吗//@今晚交稿: 查看图片	未
还是人日牛//@波西谢尔比:人民日报直接带图了 查看图片	未
还是他！这位西安拾荒老人十年前无偿捐文物，十年后又做了这件事	未
还是会想起他 来自昨日的应答	未
还是你精明能干。 微博视频	未
